Action,Value
"AvgR, RiverVCom",0.8148420695
"AvgK, RiverVCom",0.7858032379
"AvgR, RiverVSim",0.7807539907
"AvgR, TurnVSim",0.7540699649
"AvgB, RiverVCom",0.7457715385
"AvgK, RiverVSim",0.7455337937
"RiverVCom, FlopVSim",0.7441243066
"AvgC, RiverVCom",0.7394599796
"RiverVCom, TurnVSim",0.7392222348
"RiverVCom, RiverVSim",0.7383505038
"PreflopVCom, RiverVCom",0.7354919054
"AvgK, TurnVSim",0.7304426582
"AvgR, FlopVSim",0.7275331145
"AvgR, AvgC",0.7260670214
"AvgR, PreflopVCom",0.7164723197
"AvgR, AvgK",0.7153968074
"AvgK, FlopVSim",0.7124363184
"AvgK, PreflopVCom",0.7073531077
"PreflopVCom, RiverVSim",0.6991226084
"AvgC, RiverVSim",0.6979112419
"AvgC, AvgK",0.6965498698
"AvgB, AvgK",0.695460206
"AvgB, AvgR",0.6922336692
"FlopVSim, RiverVSim",0.6890297747
"TurnVSim, RiverVSim",0.6872863127
"AvgB, RiverVSim",0.6734348466
"PreflopVCom, TurnVSim",0.6623004642
"AvgB, TurnVSim",0.6509849428
"FlopVSim, TurnVSim",0.650345296
"PreflopVCom, FlopVSim",0.6292765765
"AvgC, TurnVSim",0.6218668629
"AvgC, FlopVSim",0.6211989132
"AvgB, FlopVSim",0.6207007812
"AvgC, PreflopVCom",0.614779803
"AvgB, PreflopVCom",0.5922563116
"AvgB, AvgC",0.5715838334
