Player,BankIni,BankInc,BankIncBet,TotalGames,TotalBet,TotalB,TotalR,TotalC,TotalK,PreflopVCom,FlopVCom,TurnVCom,RiverVCom,FlopVSim,TurnVSim,RiverVSim
Pongy,213.84,-1.9,41.74,10.0,50.0,16.0,1.0,21.0,17.0,0.57338,0.69905,0.70329,0.69474,0.76280958538,0.80309646936,0.83904961984
dominator,103.3,252.1,98.26,14.0,88.0,14.0,17.0,19.0,28.0,0.604342857143,0.624371428571,0.580471428571,0.57285,0.606838229807,0.722034747964,0.8306616053
HIPSHOT,155.98,297.6,728.26,102.0,635.0,151.0,42.0,222.0,169.0,0.591512745098,0.62196372549,0.666989215686,0.705271568627,0.602487390125,0.728628808233,0.865221307227
dalec,570.92,108.3,18.0,4.0,29.0,3.0,5.0,7.0,7.0,0.556575,0.577225,0.585975,0.543775,0.5082309847,0.605704589525,0.6895061871
the_mind,97.2,177.66,103.26,13.0,94.0,16.0,11.0,31.0,21.0,0.531569230769,0.639938461538,0.667415384615,0.643361538462,0.564771825892,0.741098688,0.805958951638
Slut,310.2,-15.96,109.74,10.0,81.0,15.0,16.0,12.0,12.0,0.63689,0.59414,0.63368,0.62232,0.59208406441,0.77953566043,0.83829912734
hnilnirt,218.98,99.98,211.48,20.0,109.0,18.0,11.0,38.0,39.0,0.611925,0.749305,0.75712,0.752345,0.79836803952,0.8670164989,0.91533867392
Fsh2Shark,180.1,29.5,122.0,6.0,70.0,12.0,12.0,9.0,3.0,0.622733333333,0.588316666667,0.576983333333,0.778033333333,0.507866351683,0.66682006135,0.89254939155
Hoss,889.18,-647.18,50.0,11.0,47.0,13.0,4.0,16.0,23.0,0.554890909091,0.588627272727,0.584081818182,0.529736363636,0.614275780227,0.669054999618,0.790443625
lore,194.8,231.92,2731.98,364.0,2118.0,658.0,273.0,486.0,571.0,0.582721153846,0.647043681319,0.659121428571,0.664968406593,0.668184478989,0.772624691255,0.853290857763
bangles,359.36,2490.84,355.24,47.0,308.0,66.0,46.0,72.0,75.0,0.576834042553,0.674723404255,0.687425531915,0.694982978723,0.674225140134,0.773760101421,0.864359475379
AndreaM,122.66,-80.5,403.5,70.0,461.0,109.0,66.0,134.0,106.0,0.544285714286,0.572632857143,0.5795,0.581715714286,0.53398006455,0.656307017309,0.765292463133
benvolio,242.54,5.46,945.5,145.0,1062.0,262.0,150.0,254.0,165.0,0.55212137931,0.607768275862,0.622232413793,0.59821862069,0.606929564929,0.725813691522,0.804249662726
GV,115.14,0.48,340.48,61.0,306.0,80.0,52.0,67.0,120.0,0.543413114754,0.593960655738,0.595760655738,0.574726229508,0.626766236126,0.728157076198,0.79760098238
john_law,191.42,383.32,1147.0,149.0,1146.0,239.0,152.0,292.0,168.0,0.578932214765,0.626604026846,0.64788590604,0.674404026846,0.61057138653,0.729507213309,0.851746788029
dont_call,985.22,8.74,83.24,10.0,74.0,22.0,11.0,11.0,13.0,0.60058,0.68419,0.70224,0.6842,0.67103206668,0.74749584449,0.800071721
MegaHertz,309.72,728.8,3174.24,527.0,2913.0,643.0,207.0,1124.0,964.0,0.544981783681,0.593588804554,0.611166223909,0.605944971537,0.595276896339,0.727825101723,0.810448423274
NickySix,1010.1,255.2,193.0,17.0,168.0,23.0,34.0,32.0,18.0,0.621082352941,0.655641176471,0.665835294118,0.668864705882,0.635007962441,0.752527685288,0.797759035747
GG,255.26,591.28,436.0,53.0,374.0,100.0,62.0,66.0,66.0,0.612326415094,0.642667924528,0.650298113208,0.636190566038,0.665875355942,0.753599037577,0.801693050219
jack,118.9,305.88,57.74,23.0,162.0,21.0,18.0,54.0,50.0,0.597456521739,0.618704347826,0.6244,0.622639130435,0.593689181352,0.71217296283,0.786399175048
numskull,120.4,389.36,14911.72,1883.0,13111.0,3186.0,1906.0,3126.0,2447.0,0.566619437069,0.621864737122,0.627855284121,0.635233616569,0.619991223542,0.722192177456,0.819450165375
theking,1981.18,1027.1,12655.74,1660.0,13224.0,2921.0,2393.0,2305.0,2104.0,0.527934518072,0.570501686747,0.582606144578,0.590577951807,0.562416561852,0.693003515122,0.804554157159
PocoLoco,107.4,108.52,84.0,7.0,54.0,11.0,8.0,10.0,8.0,0.631914285714,0.6197,0.678585714286,0.679014285714,0.640364937186,0.851262922757,0.911872661157
fluke17,368.8,-265.58,1193.5,162.0,1091.0,260.0,118.0,329.0,236.0,0.557415432099,0.621301234568,0.642037654321,0.666337654321,0.622780083073,0.738429479107,0.83969213279
Quisp,106.2,-18.8,439.5,87.0,588.0,154.0,76.0,152.0,121.0,0.577240229885,0.628381609195,0.641771264368,0.617532183908,0.614660258447,0.732851420847,0.799654189705
StMroller,113.18,0.0,28.0,1.0,12.0,4.0,2.0,0.0,0.0,0.6355,0.85,0.861,0.9263,0.8248761043,0.8249007295,0.9700526364
CFsneezix,427.64,450.92,295.5,42.0,277.0,75.0,34.0,63.0,57.0,0.591873809524,0.601733333333,0.63499047619,0.694245238095,0.57470315966,0.730730799633,0.864769442579
TANKER,102.64,134.04,381.5,37.0,241.0,31.0,17.0,99.0,68.0,0.569354054054,0.667475675676,0.718921621622,0.755505405405,0.670976165927,0.796890575354,0.893728114935
PokerBill,157.4,3.94,156.0,29.0,156.0,39.0,9.0,56.0,51.0,0.611451724138,0.656855172414,0.654048275862,0.673255172414,0.6559385558,0.7518971647,0.852090650579
is314onu,639.34,-229.58,391.66,66.0,292.0,59.0,10.0,143.0,137.0,0.506553030303,0.576112121212,0.594360606061,0.584645454545,0.567248618559,0.711313558058,0.786930838762
Nightmare,224.7,23.5,105.0,12.0,90.0,14.0,13.0,23.0,15.0,0.549425,0.770141666667,0.779141666667,0.770758333333,0.843379916075,0.865880647125,0.883735994392
Stive-Co,159.62,-65.08,1745.24,288.0,1719.0,455.0,148.0,568.0,444.0,0.569529861111,0.61321875,0.621467708333,0.627195486111,0.609496323902,0.717381069683,0.823045489561
esox,186.16,-27.4,26.5,5.0,28.0,5.0,2.0,12.0,7.0,0.58448,0.68664,0.65484,0.5606,0.65445224244,0.75684643088,0.90694193062
fabulous,107.7,-54.92,669.26,84.0,526.0,92.0,42.0,205.0,148.0,0.604932142857,0.634204761905,0.652446428571,0.670355952381,0.656131930798,0.76465978791,0.849864611598
evillurkr,201.96,21.5,36.0,4.0,34.0,7.0,6.0,7.0,1.0,0.581275,0.656025,0.716125,0.770075,0.580018545875,0.802179333275,0.873586742375
robw,102.82,152.62,9777.34,1336.0,9687.0,2642.0,1301.0,2357.0,1583.0,0.546908607784,0.596493038922,0.600337200599,0.610743637725,0.593155755509,0.708257992856,0.811707423641
Sirotka33,221.92,-60.5,119.0,29.0,144.0,48.0,14.0,51.0,56.0,0.565796551724,0.604837931034,0.57985862069,0.572206896552,0.57918232279,0.627838363455,0.735673911472
PW0016,139.64,-44.0,58.5,12.0,74.0,11.0,10.0,23.0,20.0,0.628383333333,0.674775,0.641533333333,0.599266666667,0.701138788858,0.711103543983,0.79606291235
gazoo,188.28,271.64,10855.94,1259.0,10169.0,2257.0,1791.0,2058.0,1386.0,0.551060444797,0.605492216044,0.608215885624,0.619029150119,0.608012290577,0.708814082548,0.809416495565
blue,102.1,0.0,13.0,1.0,6.0,0.0,1.0,3.0,1.0,0.7993,0.8156,0.8273,0.8571,0.8529734971,0.8544510112,0.8544510112
PokeHer,294.8,0.0,6.5,1.0,3.0,1.0,0.0,1.0,2.0,0.7502,0.9583,0.9064,0.9616,0.9859047465,0.9859085942,0.9859085942
AIYAH,1232.8,-796.46,756.74,113.0,764.0,186.0,81.0,223.0,139.0,0.546055752212,0.589276106195,0.602220353982,0.596603539823,0.604190457673,0.704252858394,0.827913214301
POed,86.12,0.0,16.0,1.0,8.0,2.0,1.0,3.0,2.0,0.5519,0.6574,0.6618,0.6495,0.694534737,0.694534737,0.694534737
Zeus,126.2,-9.0,14.0,4.0,17.0,7.0,2.0,5.0,7.0,0.53335,0.60185,0.63135,0.56035,0.69155700745,0.810039400375,0.90877273985
jaeger,164.7,91.26,503.76,60.0,393.0,101.0,43.0,94.0,83.0,0.570395,0.630101666667,0.661598333333,0.687255,0.646565254302,0.766053793312,0.850475696683
Blades,248.74,-43.82,1992.18,233.0,1566.0,290.0,239.0,422.0,376.0,0.575386266094,0.623309871245,0.626787982833,0.625765665236,0.626487339733,0.718835095939,0.805223210117
GAR2,357.6,630.08,4317.96,711.0,3623.0,862.0,200.0,1595.0,1309.0,0.554584247539,0.601011111111,0.609041209564,0.627547960619,0.600520557134,0.716193702409,0.815764253338
fuc,120.34,2061.26,1463.48,178.0,1335.0,332.0,267.0,179.0,242.0,0.538064044944,0.572175842697,0.606510674157,0.61793988764,0.570797290398,0.712948798795,0.815102776201
