Player,BankIni,BankInc,BankIncBet,TotalGames,TotalBet,TotalB,TotalR,TotalC,TotalK,PreflopVCom,FlopVCom,TurnVCom,RiverVCom,FlopVSim,TurnVSim,RiverVSim
Pongy,-94.6423884198,-146.506658625,-918.784571773,-120.340772014,-815.731604343,-198.357659831,-112.664656212,-205.192400483,-171.813027744,0.00358441425156,0.0762738207512,0.0690786072387,0.0547135128351,0.138088936753,0.066617466399,0.011341343569
dominator,-205.18238842,107.493341375,-862.264571773,-116.340772014,-777.731604343,-200.357659831,-96.6646562123,-207.192400483,-160.813027744,0.0345472713944,0.00159524932258,-0.0537399641899,-0.0671764871649,-0.0178824188203,-0.0144442549967,0.00295332902901
HIPSHOT,-152.50238842,152.993341375,-232.264571773,-28.3407720145,-230.731604343,-63.3576598311,-71.6646562123,-4.19240048251,-19.8130277443,0.0217171593496,-0.000812453758651,0.0327778229249,0.0652450814626,-0.022233258503,-0.00785019472768,0.0375130309565
dalec,262.43761158,-36.3066586248,-942.524571773,-126.340772014,-836.731604343,-211.357659831,-108.664656212,-219.192400483,-181.813027744,-0.0132205857484,-0.0455511792488,-0.0482363927613,-0.0962514871649,-0.116489663927,-0.130774413436,-0.138202089171
the_mind,-211.28238842,33.0533413752,-857.264571773,-117.340772014,-771.731604343,-198.357659831,-102.664656212,-195.192400483,-167.813027744,-0.0382263549792,0.0171622822896,0.0332039918541,0.00333505129668,-0.0599488227352,0.00461968503899,-0.0217493246325
Slut,1.71761158022,-160.566658625,-850.784571773,-120.340772014,-784.731604343,-199.357659831,-97.6646562123,-214.192400483,-176.813027744,0.0670944142516,-0.0286361792488,-0.000531392761334,-0.0177064871649,-0.0326365842175,0.043056657469,0.010590851069
hnilnirt,-89.5023884198,-44.6266586248,-749.044571773,-110.340772014,-756.731604343,-196.357659831,-102.664656212,-188.192400483,-149.813027744,0.0421294142516,0.126528820751,0.122908607239,0.112318512835,0.173647390893,0.130537495939,0.087630397649
Fsh2Shark,-128.38238842,-115.106658625,-838.524571773,-124.340772014,-795.731604343,-202.357659831,-101.664656212,-217.192400483,-185.813027744,0.0529377475849,-0.0344595125822,-0.057228059428,0.138006846168,-0.116854296944,-0.069658941611,0.064841115279
Hoss,580.69761158,-791.786658625,-910.524571773,-119.340772014,-818.731604343,-201.357659831,-109.664656212,-210.192400483,-165.813027744,-0.0149046766575,-0.0341489065216,-0.0501295745795,-0.110290123528,-0.0104448684002,-0.0674240033428,-0.037264651271
lore,-113.68238842,87.3133413752,1771.45542823,233.659227986,1252.26839566,443.642340169,159.335343788,259.807599517,382.186972256,0.0129255680977,0.0242675020698,0.0249100358101,0.0249419194285,0.0434638303618,0.0361456882937,0.0255825814925
bangles,50.8776115802,2346.23334138,-605.284571773,-83.3407720145,-557.731604343,-148.357659831,-67.6646562123,-154.192400483,-113.813027744,0.00703845680475,0.0519472250065,0.0532141391536,0.0549564915585,0.0495044915066,0.0372810984603,0.0366511991077
AndreaM,-185.82238842,-225.106658625,-557.024571773,-60.3407720145,-404.731604343,-105.357659831,-47.6646562123,-92.1924004825,-82.8130277443,-0.0255098714627,-0.050143322106,-0.0547113927613,-0.0583107728791,-0.0907405840775,-0.0801719856524,-0.0624158131381
benvolio,-65.9423884198,-139.146658625,-15.0245717732,14.6592279855,196.268395657,47.6423401689,36.3353437877,27.8075995175,-23.8130277443,-0.0176742064381,-0.0150079033868,-0.0119789789682,-0.0418078664752,-0.0177910836985,-0.0106653114389,-0.0234586135455
GV,-193.34238842,-144.126658625,-620.044571773,-69.3407720145,-559.731604343,-134.357659831,-61.6646562123,-159.192400483,-68.8130277443,-0.0263824709943,-0.0288155235111,-0.0384507370236,-0.0653002576567,0.00204558749876,-0.00832192676265,-0.0301072938907
john_law,-117.06238842,238.713341375,186.475428227,18.6592279855,280.268395657,24.6423401689,38.3353437877,65.8075995175,-20.8130277443,0.00913662901666,0.00382784759679,0.0136745132789,0.0343775396808,-0.0141492620979,-0.00697178965228,0.0240385117579
dont_call,676.73761158,-135.866658625,-877.284571773,-120.340772014,-791.731604343,-192.357659831,-102.664656212,-215.192400483,-175.813027744,0.0307844142516,0.0614138207512,0.0680286072387,0.0441735128351,0.0463114180525,0.011016841529,-0.027636555271
MegaHertz,1.23761158022,584.193341375,2213.71542823,396.659227986,2047.26839566,428.642340169,93.3353437877,897.807599517,775.186972256,-0.0248138020672,-0.0291873746948,-0.0230451688524,-0.0340815156279,-0.0294437522889,-0.00865390123805,-0.0172598529968
NickySix,701.61761158,110.593341375,-767.524571773,-113.340772014,-697.731604343,-191.357659831,-79.6646562123,-194.192400483,-170.813027744,0.0512867671927,0.0328649972217,0.0316239013563,0.0288382187175,0.0102873138137,0.0160486823272,-0.0299492405239
GG,-53.2223884198,446.673341375,-524.524571773,-77.3407720145,-491.731604343,-114.357659831,-51.6646562123,-160.192400483,-122.813027744,0.0425308293459,0.0198917452795,0.0160867204462,-0.00383592112712,0.041154707314,0.0171200346163,-0.0260152260521
jack,-189.58238842,161.273341375,-902.784571773,-107.340772014,-703.731604343,-193.357659831,-95.6646562123,-172.192400483,-138.813027744,0.0276609359907,-0.00407183142276,-0.00981139276133,-0.0173873567301,-0.0310314672753,-0.0243060401306,-0.0413091012232
numskull,-188.08238842,244.753341375,13951.1954282,1752.65922799,12245.2683957,2971.64234017,1792.33534379,2899.80759952,2258.18697226,-0.00317614867993,-0.000911442127234,-0.00635610864025,-0.00479287059556,-0.00472942508567,-0.0142868255049,-0.00825811089568
theking,1672.69761158,882.493341375,11695.2154282,1529.65922799,12358.2683957,2706.64234017,2279.33534379,2078.80759952,1915.18697226,-0.0418610676762,-0.0522744925019,-0.051605248183,-0.0494485353576,-0.0623040867753,-0.0434754878388,-0.0231541191124
PocoLoco,-201.08238842,-36.0866586248,-876.524571773,-123.340772014,-811.731604343,-203.357659831,-105.664656212,-216.192400483,-180.813027744,0.0621186999658,-0.00307617924885,0.0443743215244,0.0389877985494,0.0156442885582,0.114783919796,0.0841643848862
fluke17,60.3176115802,-410.186658625,232.975428227,31.6592279855,225.268395657,45.6423401689,4.3353437877,102.807599517,47.1869722557,-0.0123801536497,-0.00147494468095,0.00782626155965,0.0263111671561,-0.00194056555463,0.0019504761464,0.0119838565191
Quisp,-202.28238842,-163.406658625,-521.024571773,-43.3407720145,-277.731604343,-60.3576598311,-37.6646562123,-74.1924004825,-67.8130277443,0.00744464413661,0.00560542994656,0.00755987160648,-0.0224943032568,-0.0100603901803,-0.00362758211388,-0.0280540865664
StMroller,-195.30238842,-144.606658625,-932.524571773,-129.340772014,-853.731604343,-210.357659831,-111.664656212,-226.192400483,-188.813027744,0.0657044142516,0.227223820751,0.226788607239,0.286273512835,0.200155455673,0.088421726539,0.142344360129
CFsneezix,119.15761158,306.313341375,-665.024571773,-88.3407720145,-588.731604343,-139.357659831,-79.6646562123,-163.192400483,-131.813027744,0.0220782237754,-0.0210428459155,0.000779083429142,0.0542187509304,-0.0500174889679,-0.00574820332768,0.0370611663076
TANKER,-205.84238842,-10.5666586248,-579.024571773,-93.3407720145,-624.731604343,-183.357659831,-96.6646562123,-127.192400483,-120.813027744,-0.00044153169439,0.0446994964268,0.0847102288603,0.115478918241,0.0462555172996,0.060411572393,0.0660198386641
PokerBill,-151.08238842,-140.666658625,-804.524571773,-101.340772014,-709.731604343,-175.357659831,-104.664656212,-170.192400483,-137.813027744,0.0416561383895,0.0340789931649,0.0198368831007,0.0332286852489,0.0312179071725,0.015418161739,0.0243823743083
is314onu,330.85761158,-374.186658625,-568.864571773,-64.3407720145,-573.731604343,-155.357659831,-103.664656212,-83.1924004825,-51.8130277443,-0.0632425554454,-0.0466640580367,-0.0398507867007,-0.0553810326194,-0.0574720300684,-0.0251654449034,-0.0407774375089
Nightmare,-83.7823884198,-121.106658625,-855.524571773,-118.340772014,-775.731604343,-200.357659831,-100.664656212,-203.192400483,-173.813027744,-0.0203705857484,0.147365487418,0.144930273905,0.130731846168,0.218659267448,0.129401644164,0.0560277181207
Stive-Co,-148.86238842,-209.686658625,784.715428227,157.659227986,853.268395657,240.642340169,34.3353437877,341.807599517,255.186972256,-0.000265724637333,-0.00955742924885,-0.012743684428,-0.0128310010538,-0.0152243247257,-0.019097933278,-0.00466278670953
esox,-122.32238842,-172.006658625,-934.024571773,-125.340772014,-837.731604343,-209.357659831,-111.664656212,-214.192400483,-181.813027744,0.0146844142516,0.0638638207512,0.0206286072387,-0.0794264871649,0.0297315938125,0.020367427919,0.079233654349
fabulous,-200.78238842,-199.526658625,-291.264571773,-46.3407720145,-339.731604343,-122.357659831,-71.6646562123,-21.1924004825,-40.8130277443,0.0351365571087,0.0114285826559,0.0182350358101,0.0303294652161,0.0314112821702,0.0281807849485,0.0221563353266
evillurkr,-106.52238842,-123.106658625,-924.524571773,-126.340772014,-831.731604343,-207.357659831,-107.664656212,-219.192400483,-187.813027744,0.0114794142516,0.0332488207512,0.0819136072387,0.130048512835,-0.0447021027525,0.065700330314,0.045878466104
robw,-205.66238842,8.01334137515,8816.81542823,1205.65922799,8821.26839566,2427.64234017,1187.33534379,2130.80759952,1394.18697226,-0.022886977964,-0.0262831403267,-0.0338741921625,-0.0292828494403,-0.0315648931189,-0.0282210101046,-0.0160008526296
Sirotka33,-86.5623884198,-205.106658625,-841.524571773,-101.340772014,-721.731604343,-166.357659831,-99.6646562123,-175.192400483,-132.813027744,-0.00399903402431,-0.0179382482144,-0.0543527720717,-0.0678195906131,-0.0455383258378,-0.108640639506,-0.0920343647986
PW0016,-168.84238842,-188.606658625,-902.024571773,-118.340772014,-791.731604343,-203.357659831,-103.664656212,-203.192400483,-168.813027744,0.0585877475849,0.0519988207512,0.007321940572,-0.0407598204982,0.0764181402309,-0.0253754589777,-0.031645363921
gazoo,-120.20238842,127.033341375,9895.41542823,1128.65922799,9303.26839566,2042.64234017,1677.33534379,1831.80759952,1197.18697226,-0.018735140951,-0.0172839632044,-0.0259955071378,-0.0209973370457,-0.0167083580508,-0.0276649204133,-0.0182917807064
blue,-206.38238842,-144.606658625,-947.524571773,-129.340772014,-859.731604343,-214.357659831,-112.664656212,-223.192400483,-187.813027744,0.229504414252,0.192823820751,0.193088607239,0.217073512835,0.228252848473,0.117972008239,0.026742734929
PokeHer,-13.6823884198,-144.606658625,-954.024571773,-129.340772014,-862.731604343,-213.357659831,-113.664656212,-225.192400483,-186.813027744,0.180404414252,0.335523820751,0.272188607239,0.321573512835,0.361184097873,0.249429591239,0.158200317929
AIYAH,924.31761158,-941.066658625,-203.784571773,-17.3407720145,-101.731604343,-28.3576598311,-32.6646562123,-3.19240048251,-49.8130277443,-0.0237398335361,-0.0335000730542,-0.031991038779,-0.0434229473419,-0.0205301909549,-0.0322261445672,0.000204938029899
POed,-222.36238842,-144.606658625,-944.524571773,-129.340772014,-857.731604343,-212.357659831,-112.664656212,-223.192400483,-186.813027744,-0.0178955857484,0.0346238207512,0.0275886072387,0.00947351283514,0.0698140883725,-0.041944265961,-0.133173539271
Zeus,-182.28238842,-153.606658625,-946.524571773,-126.340772014,-848.731604343,-207.357659831,-111.664656212,-221.192400483,-181.813027744,-0.0364455857484,-0.0209261792488,-0.00286139276133,-0.0796764871649,0.0668363588225,0.073560397414,0.081064463579
jaeger,-143.78238842,-53.3466586248,-456.764571773,-70.3407720145,-472.731604343,-113.357659831,-70.6646562123,-132.192400483,-105.813027744,0.000599414251556,0.00732548741782,0.027386940572,0.0472285128351,0.0218446056742,0.0295747903507,0.0227674204123
Blades,-59.7423884198,-188.426658625,1031.65542823,102.659227986,700.268395657,75.6423401689,125.335343788,195.807599517,187.186972256,0.00559068034598,0.000533691995788,-0.00742340992872,-0.0142608219288,0.00176669110601,-0.017643907022,-0.0224850661538
GAR2,49.1176115802,485.473341375,3357.43542823,580.659227986,2757.26839566,647.642340169,86.3353437877,1368.80759952,1120.18697226,-0.0152113382098,-0.0217650681377,-0.0251701831973,-0.012478526546,-0.024200091493,-0.0202853005519,-0.0119440229329
fuc,-188.14238842,1916.65334138,502.955428227,47.6592279855,469.268395657,117.642340169,153.335343788,-47.1924004825,53.1869722557,-0.0317315408046,-0.0506003365522,-0.027700718604,-0.0220865995244,-0.0539233582297,-0.0235302041661,-0.0126055000704
Trouble2,1077.91761158,-578.446658625,-580.024571773,-73.3407720145,-583.731604343,-139.357659831,-85.6646562123,-131.192400483,-82.8130277443,-0.0123815506607,-0.0853884599506,-0.112978059428,-0.068417715235,-0.15529295852,-0.147673939782,-0.0464552082499
padan,-208.10238842,21.6333413752,-839.284571773,-117.340772014,-754.731604343,-191.357659831,-95.6646562123,-206.192400483,-177.813027744,0.0478890296362,0.0139545899819,-0.0273344696844,-0.0108880256264,-0.0248005326505,-0.100680719153,-0.0450304122171
dred,222.21761158,-355.686658625,-395.524571773,-40.3407720145,-347.731604343,-105.357659831,-71.6646562123,-29.1924004825,-31.8130277443,0.0149610809182,0.0296693763067,0.0242963850164,0.0176835128351,0.0677541789103,0.0424497651245,0.0182659467446
