0 0:1.6 1:0.1 2:2.1 3:1.7 4:0.57338 5:0.6947399999999999 6:0.76280958538 7:0.80309646936 8:0.8390496198399999
0 0:1 1:1.214285714285714 2:1.357142857142857 3:2 4:0.604342857143 5:0.57285 6:0.606838229807 7:0.7220347479639999 8:0.8306616053
0 0:1.480392156862745 1:0.4117647058823529 2:2.176470588235294 3:1.656862745098039 4:0.591512745098 5:0.705271568627 6:0.6024873901250001 7:0.728628808233 8:0.865221307227
1 0:1.230769230769231 1:0.8461538461538461 2:2.384615384615385 3:1.615384615384615 4:0.531569230769 5:0.6433615384619999 6:0.5647718258919999 7:0.741098688 8:0.805958951638
1 0:1.5 1:1.6 2:1.2 3:1.2 4:0.63689 5:0.62232 6:0.5920840644100001 7:0.77953566043 8:0.83829912734
1 0:0.9 1:0.55 2:1.9 3:1.95 4:0.6119250000000001 5:0.7523449999999999 6:0.7983680395199999 7:0.8670164989 8:0.91533867392
1 0:2 1:2 2:1.5 3:0.5 4:0.6227333333330001 5:0.778033333333 6:0.507866351683 7:0.6668200613499999 8:0.89254939155
0 0:1.181818181818182 1:0.3636363636363636 2:1.454545454545455 3:2.090909090909091 4:0.554890909091 5:0.529736363636 6:0.614275780227 7:0.669054999618 8:0.790443625
1 0:1.807692307692308 1:0.75 2:1.335164835164835 3:1.568681318681319 4:0.582721153846 5:0.664968406593 6:0.668184478989 7:0.7726246912549999 8:0.853290857763
1 0:1.404255319148936 1:0.9787234042553191 2:1.531914893617021 3:1.595744680851064 4:0.576834042553 5:0.694982978723 6:0.674225140134 7:0.773760101421 8:0.864359475379
0 0:1.557142857142857 1:0.9428571428571428 2:1.914285714285714 3:1.514285714285714 4:0.544285714286 5:0.581715714286 6:0.53398006455 7:0.656307017309 8:0.765292463133
0 0:1.806896551724138 1:1.03448275862069 2:1.751724137931034 3:1.137931034482759 4:0.55212137931 5:0.59821862069 6:0.606929564929 7:0.725813691522 8:0.804249662726
0 0:1.311475409836065 1:0.8524590163934426 2:1.098360655737705 3:1.967213114754098 4:0.543413114754 5:0.574726229508 6:0.626766236126 7:0.728157076198 8:0.7976009823800001
1 0:1.604026845637584 1:1.02013422818792 2:1.959731543624161 3:1.12751677852349 4:0.578932214765 5:0.674404026846 6:0.6105713865300001 7:0.729507213309 8:0.8517467880290001
